Pointing,Method,N,Median Ratio,Mean Ratio
nircam1,Local RMS SNR,56,0.9413979696946548,0.9126891548629504
nircam1,Weighted RMS SNR,56,0.29754305278096205,0.31872094608532414
nircam1,Global Stats SNR,56,0.466266697124202,0.5042287077224336
nircam2,Local RMS SNR,35,0.9063183136410864,0.9117390487507693
nircam2,Weighted RMS SNR,35,0.2818740490113877,0.3320534531335184
nircam2,Global Stats SNR,35,0.0521462946776949,0.38028290985502605
nircam3,Local RMS SNR,8,0.9622490786876653,0.9447351609686447
nircam3,Weighted RMS SNR,8,0.30782968472065514,0.3348449042790741
nircam3,Global Stats SNR,8,0.1682546941053571,0.3113598297008039
nircam4,Local RMS SNR,12,0.9315447126083523,0.9046348190372804
nircam4,Weighted RMS SNR,12,0.4820355807236215,0.48664140883841855
nircam4,Global Stats SNR,12,0.005210179009758618,0.004073680803188257
nircam5,Local RMS SNR,6,1.0137088473170097,0.981899840325647
nircam5,Weighted RMS SNR,6,0.5629790717879803,0.5602801867393853
nircam5,Global Stats SNR,6,0.01668309757131217,0.020222379831445803
nircam6,Local RMS SNR,9,0.8742724035694348,0.9131245729225248
nircam6,Weighted RMS SNR,9,0.27900304125089276,0.35036129238188196
nircam6,Global Stats SNR,9,0.03150878219082144,0.3221705079056222
nircam7,Local RMS SNR,17,0.9805897332666267,1.0014261683796726
nircam7,Weighted RMS SNR,17,0.5614946997305591,0.5445044703511176
nircam7,Global Stats SNR,17,0.033758228811127104,0.02404082473390827
nircam8,Local RMS SNR,13,0.8885991704745556,0.9038238718410938
nircam8,Weighted RMS SNR,13,0.506496776773205,0.5018296283099577
nircam8,Global Stats SNR,13,0.01961486186619994,0.012553139126576187
nircam9,Local RMS SNR,7,0.9488878771500208,0.9566609124138126
nircam9,Weighted RMS SNR,7,0.5123322725416607,0.4955439193695842
nircam9,Global Stats SNR,7,0.00630244571629393,0.01237115207687387
nircam10,Local RMS SNR,8,0.7593457183444398,0.8199793037367917
nircam10,Weighted RMS SNR,8,0.46388709120913796,0.44974157002831927
nircam10,Global Stats SNR,8,0.03963976059958309,0.03965178717501634
