pointing,best_num_sources,snr_threshold,veto_snr,color1_min,color2_min,color2_max,color3_slope,color3_intercept,star_cut
nircam1,3,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
nircam2,2,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
nircam3,0,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
nircam4,3,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
nircam5,1,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
nircam6,1,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
nircam7,1,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
nircam8,0,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
nircam9,0,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
nircam10,3,4,2,0.5,-2.0,0.5,0.3,0.3,0.8
